dr_no,date_occ,neighborhood,new_category,crime_type_id,neighborhood_id
180513376,2018-07-18,wilmington,theft,0,65
180119100,2018-07-18,downtown,theft,0,3
180212621,2018-05-31,westlake,theft,0,10
180914690,2018-07-19,sherman-oaks,theft,0,33
181013380,2018-07-19,lake-balboa,theft,0,59
181416515,2018-07-19,palms,theft,0,68
181609779,2018-05-25,sun-valley,theft,0,6
181505757,2018-02-02,valley-village,theft,0,5
180110800,2018-04-03,downtown,theft,0,3
181420839,2018-09-22,venice,theft,0,20
181404396,2018-01-03,venice,theft,0,20
181704644,2018-01-13,north-hills,theft,0,46
180604793,2018-01-14,hollywood,theft,0,15
180605082,2018-01-19,hollywood,theft,0,15
181514835,2018-07-19,toluca-lake,theft,0,62
180813485,2018-07-19,brentwood,theft,0,69
180506038,2018-02-09,wilmington,theft,0,65
181906157,2018-02-09,panorama-city,theft,0,30
182014412,2018-07-19,westlake,theft,0,10
181514784,2018-07-19,studio-city,theft,0,36
181315894,2018-07-19,central-alameda,theft,0,91
180814007,2018-07-19,beverly-crest,theft,0,47
180219728,2018-09-22,westlake,theft,0,10
180109924,2018-03-22,downtown,theft,0,3
180516350,2018-09-24,harbor-gateway,theft,0,79
181421149,2018-09-28,westchester,theft,0,8
181515118,2018-07-19,north-hollywood,theft,0,25
180324578,2018-10-30,university-park,theft,0,40
181717800,2018-10-07,granada-hills,theft,0,4
181218765,2018-07-19,harvard-park,theft,0,73
181017240,2018-10-12,tarzana,theft,0,63
181416444,2018-07-19,palms,theft,0,68
180616552,2018-07-19,hollywood,theft,0,15
181520108,2018-10-23,north-hollywood,theft,0,25
180818300,2018-10-23,westwood,theft,0,84
181719990,2018-10-27,northridge,theft,0,11
180222606,2018-11-06,westlake,theft,0,10
181009187,2018-04-12,tarzana,theft,0,63
181719123,2018-11-19,granada-hills,theft,0,4
181323337,2018-11-23,downtown,theft,0,3
180721333,2018-11-25,mid-city,theft,0,52
180317170,2018-07-19,university-park,theft,0,40
181228126,2018-11-29,chesterfield-square,theft,0,111
190304379,2018-12-08,university-park,theft,0,40
181019751,2018-12-11,lake-balboa,theft,0,59
182109762,2018-04-14,west-hills,theft,0,16
181713708,2018-07-19,north-hills,theft,0,46
181416502,2018-07-19,venice,theft,0,20
182120717,2018-12-18,canoga-park,theft,0,58
180211711,2018-04-24,downtown,theft,0,3
180813483,2018-07-19,mid-city,theft,0,52
190704429,2018-12-28,beverly-grove,theft,0,29
191604322,2018-12-29,pacoima,theft,0,2
180113363,2018-05-08,downtown,theft,0,3
181211744,2018-04-16,vermont-slauson,theft,0,55
180119271,2018-07-19,downtown,theft,0,3
181514838,2018-07-19,north-hollywood,theft,0,25
191904177,2018-12-30,panorama-city,theft,0,30
182121226,2018-12-30,winnetka,theft,0,87
180909449,2018-04-16,van-nuys,theft,0,0
180215558,2018-07-19,westlake,theft,0,10
180215439,2018-07-19,westlake,theft,0,10
191012490,2018-07-19,tarzana,theft,0,63
180704522,2018-01-14,mid-city,theft,0,52
180909714,2018-04-20,valley-glen,theft,0,75
181514842,2018-07-19,studio-city,theft,0,36
181713632,2018-07-19,granada-hills,theft,0,4
181608520,2018-04-20,pacoima,theft,0,2
181212105,2018-04-20,harvard-park,theft,0,73
181611996,2018-07-19,sun-valley,theft,0,6
180813604,2018-07-19,cheviot-hills,theft,0,109
182113687,2018-07-20,canoga-park,theft,0,58
181514928,2018-07-20,north-hollywood,theft,0,25
181515239,2018-07-20,studio-city,theft,0,36
180119131,2018-07-20,downtown,theft,0,3
182113674,2018-07-20,woodland-hills,theft,0,43
180210207,2018-04-21,echo-park,theft,0,31
182113714,2018-07-20,canoga-park,theft,0,58
180714450,2018-07-20,mid-wilshire,theft,0,18
180215520,2018-07-20,koreatown,theft,0,26
181713663,2018-07-20,granada-hills,theft,0,4
180809314,2018-04-21,sawtelle,theft,0,22
180705562,2018-02-03,fairfax,theft,0,38
181411359,2018-04-22,westchester,theft,0,8
180813956,2018-07-20,cheviot-hills,theft,0,109
180813572,2018-07-20,pacific-palisades,theft,0,42
181106163,2018-02-17,los-feliz,theft,0,28
180819582,2018-07-20,century-city,theft,0,41
180814451,2018-04-23,westwood,theft,0,84
182014578,2018-07-20,harvard-heights,theft,0,34
180914895,2018-07-20,sherman-oaks,theft,0,33
180513824,2018-07-20,san-pedro,theft,0,23
181315947,2018-07-20,florence,theft,0,49
182113715,2018-07-20,woodland-hills,theft,0,43
182113675,2018-07-20,woodland-hills,theft,0,43
180813526,2018-07-20,sawtelle,theft,0,22
181416743,2018-07-20,palms,theft,0,68
180914662,2018-07-20,van-nuys,theft,0,0
180215555,2018-07-20,east-hollywood,theft,0,50
180120822,2018-07-20,downtown,theft,0,3
181914659,2018-07-20,panorama-city,theft,0,30
182014539,2018-07-20,koreatown,theft,0,26
181514823,2018-07-20,north-hollywood,theft,0,25
182014510,2018-07-20,pico-union,theft,0,19
181416707,2018-07-20,westchester,theft,0,8
180513481,2018-07-20,wilmington,theft,0,65
181416535,2018-07-20,venice,theft,0,20
180215567,2018-07-20,westlake,theft,0,10
181914548,2018-07-20,panorama-city,theft,0,30
181013764,2018-07-20,tarzana,theft,0,63
181914550,2018-07-20,panorama-city,theft,0,30
180616622,2018-07-20,hollywood,theft,0,15
181514914,2018-07-20,studio-city,theft,0,36
181611959,2018-07-20,hansen-dam,theft,0,101
182113652,2018-07-20,canoga-park,theft,0,58
181315960,2018-07-20,historic-south-central,theft,0,7
180119120,2018-07-20,downtown,theft,0,3
182113685,2018-07-20,winnetka,theft,0,87
181013281,2018-07-20,encino,theft,0,1
180616586,2018-07-20,hollywood,theft,0,15
181113725,2018-07-20,griffith-park,theft,0,94
181514858,2018-07-20,valley-village,theft,0,5
181915048,2018-07-20,panorama-city,theft,0,30
181514871,2018-07-20,sun-valley,theft,0,6
181315892,2018-07-20,downtown,theft,0,3
180714417,2018-07-20,fairfax,theft,0,38
180914720,2018-07-20,valley-glen,theft,0,75
180119186,2018-07-20,downtown,theft,0,3
182014441,2018-07-20,koreatown,theft,0,26
181514847,2018-07-20,studio-city,theft,0,36
181514859,2018-07-20,studio-city,theft,0,36
181700807,2018-07-20,porter-ranch,theft,0,17
181218781,2018-07-20,manchester-square,theft,0,35
182113702,2018-07-20,west-hills,theft,0,16
181914523,2018-07-20,panorama-city,theft,0,30
181113760,2018-07-21,highland-park,theft,0,72
181416572,2018-07-21,venice,theft,0,20
180305577,2018-01-25,university-park,theft,0,40
180322679,2018-10-05,exposition-park,theft,0,48
180323320,2018-10-12,university-park,theft,0,40
180325490,2018-11-15,university-park,theft,0,40
180326171,2018-11-26,exposition-park,theft,0,48
180312619,2018-05-10,university-park,theft,0,40
180316577,2018-07-11,exposition-park,theft,0,48
180318438,2018-07-15,university-park,theft,0,40
180813603,2018-07-21,sawtelle,theft,0,22
182014684,2018-07-21,koreatown,theft,0,26
180305107,2018-01-18,exposition-park,theft,0,48
180310271,2018-04-05,exposition-park,theft,0,48
181514860,2018-07-21,valley-glen,theft,0,75
181100753,2018-07-21,highland-park,theft,0,72
181013386,2018-07-21,lake-balboa,theft,0,59
180317249,2018-07-21,exposition-park,theft,0,48
181714247,2018-07-21,north-hills,theft,0,46
181113918,2018-07-21,silver-lake,theft,0,83
180318237,2018-08-04,exposition-park,theft,0,48
182113931,2018-07-21,woodland-hills,theft,0,43
181515136,2018-07-21,valley-glen,theft,0,75
180412573,2018-07-21,boyle-heights,theft,0,39
180713819,2018-07-21,beverly-grove,theft,0,29
181014676,2018-07-21,tarzana,theft,0,63
180119261,2018-07-21,downtown,theft,0,3
182014582,2018-07-21,windsor-square,theft,0,105
181515028,2018-07-21,studio-city,theft,0,36
181614170,2018-07-21,sun-valley,theft,0,6
181612104,2018-07-21,shadow-hills,theft,0,89
180215566,2018-07-21,westlake,theft,0,10
181013320,2018-07-21,encino,theft,0,1
181416547,2018-07-21,venice,theft,0,20
181515549,2018-07-21,north-hollywood,theft,0,25
181611987,2018-07-21,tujunga,theft,0,80
181416742,2018-07-21,rancho-park,theft,0,61
180616965,2018-07-21,hollywood,theft,0,15
182014587,2018-07-21,koreatown,theft,0,26
182014512,2018-07-21,koreatown,theft,0,26
180119524,2018-07-21,downtown,theft,0,3
181515778,2018-07-21,studio-city,theft,0,36
181914655,2018-07-21,north-hills,theft,0,46
181113770,2018-07-21,east-hollywood,theft,0,50
180119272,2018-07-21,elysian-park,theft,0,110
180914769,2018-07-21,sherman-oaks,theft,0,33
180119273,2018-07-21,downtown,theft,0,3
180914830,2018-07-21,sherman-oaks,theft,0,33
180713841,2018-07-21,mid-wilshire,theft,0,18
180813602,2018-07-21,pacific-palisades,theft,0,42
181914656,2018-07-21,panorama-city,theft,0,30
180713847,2018-07-21,fairfax,theft,0,38
181013335,2018-07-21,tarzana,theft,0,63
181418168,2018-07-21,mar-vista,theft,0,44
180100956,2018-07-21,downtown,theft,0,3
180813575,2018-07-21,pacific-palisades,theft,0,42
181713709,2018-07-21,granada-hills,theft,0,4
181013593,2018-07-22,reseda,theft,0,37
180215592,2018-07-22,westlake,theft,0,10
180119307,2018-07-22,downtown,theft,0,3
180916008,2018-07-22,sherman-oaks,theft,0,33
181113836,2018-07-22,los-feliz,theft,0,28
180618172,2018-07-22,hollywood,theft,0,15
181416747,2018-07-22,mar-vista,theft,0,44
181914704,2018-07-22,north-hills,theft,0,46
181113948,2018-07-22,east-hollywood,theft,0,50
180914754,2018-07-22,valley-village,theft,0,5
181113791,2018-07-22,griffith-park,theft,0,94
180914791,2018-07-22,van-nuys,theft,0,0
180119290,2018-07-22,downtown,theft,0,3
181914793,2018-07-22,arleta,theft,0,98
180915363,2018-07-22,sherman-oaks,theft,0,33
181515270,2018-07-22,studio-city,theft,0,36
181713758,2018-07-22,winnetka,theft,0,87
182010644,2018-05-03,koreatown,theft,0,26
180317432,2018-07-22,baldwin-hillscrenshaw,theft,0,56
180317321,2018-07-22,west-adams,theft,0,66
181915245,2018-07-22,mission-hills,theft,0,70
181013376,2018-07-22,reseda,theft,0,37
181316001,2018-07-22,downtown,theft,0,3
181810961,2018-05-03,green-meadows,theft,0,53
180119230,2018-07-22,downtown,theft,0,3
181815716,2018-07-22,broadway-manchester,theft,0,64
181416667,2018-07-22,venice,theft,0,20
181316018,2018-07-22,florence,theft,0,49
180113046,2018-05-04,downtown,theft,0,3
181114004,2018-07-22,atwater-village,theft,0,100
180813696,2018-07-22,sawtelle,theft,0,22
181219030,2018-07-22,hyde-park,theft,0,9
182012893,2018-05-18,koreatown,theft,0,26
180114199,2018-05-18,downtown,theft,0,3
181013364,2018-07-22,tarzana,theft,0,63
180617458,2018-07-22,hollywood,theft,0,15
182015042,2018-07-22,pico-union,theft,0,19
182110656,2018-05-18,canoga-park,theft,0,58
181812509,2018-05-18,harbor-gateway,theft,0,79
181312197,2018-05-20,historic-south-central,theft,0,7
181914680,2018-07-22,van-nuys,theft,0,0
180713876,2018-07-22,beverly-grove,theft,0,29
181914665,2018-07-22,panorama-city,theft,0,30
180119464,2018-07-22,downtown,theft,0,3
181812607,2018-05-31,green-meadows,theft,0,53
180513552,2018-07-22,san-pedro,theft,0,23
180215668,2018-07-22,silver-lake,theft,0,83
180513561,2018-07-22,wilmington,theft,0,65
182113787,2018-07-22,canoga-park,theft,0,58
182113789,2018-07-22,woodland-hills,theft,0,43
182113794,2018-07-22,woodland-hills,theft,0,43
181111432,2018-05-29,eagle-rock,theft,0,54
181113768,2018-07-22,los-feliz,theft,0,28
181315985,2018-07-22,historic-south-central,theft,0,7
182014749,2018-07-22,westlake,theft,0,10
180119444,2018-07-22,downtown,theft,0,3
181815680,2018-07-22,watts,theft,0,71
